;V1;V2
thought;0.46534982;-0.14010996
minor;0.5379032;0.021581223
group;0.96032876;0.58276
quickly;0.52402693;0.26622516
con;0.28224275;0.20447005
worse;0.31467354;-0.28103897
crashing;0.29322606;-0.32483238
personally;0.8608135;-0.18744956
texture;1.1390733;-0.1957645
care;0.723533;0.6120137
kind;0.26581904;-0.36293486
nicht;0.38837904;-0.022416225
compared;0.5254083;-0.32237127
ist;0.53252584;0.3127702
basic;0.23437463;-0.31553704
und;0.76313317;-0.24786465
old;0.3594775;-0.2845876
main;0.75956154;-0.061365563
paid;0.8641733;0.19054629
break;0.4090346;0.42567408
turn;0.40016934;-0.085913084
part;0.26144096;-0.077912726
sound;0.5794782;0.47976384
coming;0.5050769;0.3867983
trash;1.0204812;-0.22879331
eventually;0.7301428;0.408151
solid;0.6000312;0.5009679
season;0.9843036;-0.17764133
placement;0.44035068;0.30003622
concept;0.34884912;-0.2217725
biggest;0.8953856;-0.17494513
waste;0.054676928;0.072717905
drop;0.39791575;0.1338608
ironed;0.26031062;0.06447174
feedback;0.3684564;0.12343522
click;1.0715265;-0.15976736
setting;0.44841138;0.3897879
came;0.94105166;-0.10856256
tree;1.0435727;0.55794793
causing;0.3514186;0.1314131
reminds;0.6419693;-0.10570088
npc;0.2812926;-0.22307329
wanted;0.33985168;0.06466831
screen;0.66929835;-0.026889903
updated;0.5240218;0.23090512
unfinished;0.80719733;0.108619474
lol;0.25734803;-0.346598
unable;0.5511533;0.45285082
enjoyment;0.5206241;-0.36010426
zoo;0.096627995;0.43806306
mind;0.22754353;0.4018963
element;0.3332906;0.5661959
undo;0.11264285;0.25697604
profitable;0.5604811;-0.207723
improvement;0.4573014;0.08298403
structure;0.33989924;0.07298005
quality;0.18103652;0.25206268
task;1.0323586;0.0011777652
spent;0.30443165;0.2469454
manage;0.94961864;-0.19327109
looked;0.05749878;-0.060996797
impossified;0.8762423;0.12655091
felt;0.13699467;0.04886524
repair;0.9197675;-0.29188612
simulation;0.20334552;0.5619961
creative;-0.04711758;0.27736673
fee;0.62410975;0.45646223
show;0.9200224;-0.04278266
sense;0.3644706;0.5698333
whilst;0.5859614;0.41642553
fast;-0.06511674;0.56604254
leaving;0.5081667;-0.17084658
amazing;0.5461178;0.055881824
performance;0.7323257;-0.009096283
tedious;0.44116724;0.24668974
promise;0.85960424;-0.15881896
addressed;0.613797;-0.29719582
underground;0.072589956;0.060739268
snap;0.13175538;0.2643092
take;0.6790817;0.010023768
bought;0.5681647;0.5567258
allow;0.933829;0.0017983743
happy;0.61374074;-0.09874596
general;0.34914112;0.4762587
fully;0.489447;0.093981534
size;0.40732837;-0.12680309
low;0.6502811;-0.1167555
qol;0.13921669;0.5840154
sims;0.6351678;0.54937005
zero;0.86622;0.23996118
hoping;1.0484523;-0.093717255
clip;0.55772144;0.3954091
der;1.0091672;-0.12537183
weird;1.0674938;-0.043754425
color;0.94260174;0.14621815
module;0.21451636;0.009456499
thumb;0.06772764;-0.038063526
bench;0.51573026;0.57796675
apparently;1.0204706;-0.21764621
completed;0.69480896;0.23068705
custom;0.42663836;-0.3562296
unlocked;0.63920313;-0.2776652
box;0.6782575;-0.22545771
bring;0.64388454;0.5705284
added;0.4527718;0.3189128
awful;0.49589017;0.49721342
ich;0.896668;-0.31936556
disappointing;0.23475121;0.24631014
finally;0.4866286;0.036898006
reopen;0.46372753;0.01732973
gone;0.41474888;0.30931664
constant;0.38570493;-0.055382412
placed;0.46295628;0.11323342
nearly;0.3728157;-0.1591912
ignore;0.676359;-0.0074474965
existing;0.62278205;0.14420642
half;0.72078025;-0.2541346
extremely;-0.0018164506;-0.15086998
waiting;0.9549241;0.0181255
cause;0.12683012;0.099093236
clear;0.18109125;0.3984013
reset;0.120677136;0.2800505
core;-0.025430158;0.1561608
board;0.73440826;0.4524787
creativity;0.0041793324;-0.22881098
complicated;0.12468419;-0.30198288
edition;-0.13696587;-0.02688988
interesting;0.34943664;-0.2804742
designing;0.9251551;0.17321599
walking;0.77655065;0.17668584
super;0.5392752;-0.26497003
art;0.4501787;0.33324564
person;0.20887658;0.1548879
poor;0.49136722;-0.00522208
incredibly;0.7900648;0.4675614
appeal;0.4769576;0.42929354
rollercoasters;0.7608337;-0.18010493
adding;0.22631094;-0.23258369
experienced;-0.058902632;0.49042973
seriously;0.31221402;-0.26036412
starting;0.18267405;0.33667794
visioneer;0.18283199;-0.10494808
clipping;0.6418751;-0.022650506
system;0.41953158;0.16504154
drink;0.47014576;0.56205815
unrealistic;0.46088487;-0.46028152
finish;0.81166285;-0.22985806
luck;0.5149185;0.33181325
colour;0.10835536;-0.027977044
fact;0.7041957;-0.15592316
desktop;0.080735736;0.562877
bunch;0.33799547;-0.14898472
needed;0.88974863;0.30760676
exit;0.497602;0.52754056
pathway;0.048085727;0.37191525
built;0.5761094;0.29871738
extra;0.46532845;0.29671308
couple;0.6018062;0.3973481
expect;0.30476013;-0.13013402
pro;0.48180163;0.23489606
easily;0.24607985;0.39389062
perfect;0.53634906;0.45065102
complaint;0.5832053;0.4976161
development;0.36072755;0.4958717
polished;0.7453684;-0.2944827
menu;0.36694127;-0.001537655
loved;0.5782053;0.022230225
expansion;0.33545408;0.48567703
audio;0.8624827;0.0019826402
similar;0.168237;-0.14094196
middle;0.07501235;-0.4173272
shut;0.4222594;-0.13539374
finished;0.52948856;0.36344162
literally;0.19062813;-0.40520242
brings;0.563224;-0.23968598
major;0.37705785;-0.13357098
simply;0.7401871;0.094437815
exactly;0.5060202;-0.06230553
completing;0.35949838;0.48034897
load;0.6077728;-0.17636977
using;0.20627372;0.20015389
help;0.7896298;0.38324416
riding;0.02777364;0.5278541
mention;0.7190817;0.47702408
sehr;1.1008124;-0.24587813
learn;-0.1456979;0.35001093
limbic;0.7406376;0.22712715
broke;0.71354115;-0.0041216016
read;0.7508794;-0.40811414
happens;0.13283627;-0.21787247
default;0.59201115;0.4181178
